"t","Mplus","M","L","ML","C_20","C_21","C_22","C_23","C_tot"
25.56627617642086,3.515429166471049e-50,2.359909383328228e-12,5.941844944642847,0.0014018906241429051,5.758355302296983e-17,1.2679591653941765e-11,9.302762238530605e-7,0.003072882906812374,0.011986766022681724
38.391876841628424,1.3652474222904715e-53,1.6599620578391128e-12,5.941668533523563,0.000986130702052689,3.9004386857416307e-17,8.103560047501619e-12,5.610409896602996e-7,0.003214186236883484,0.011748243305200759
58.329890928203355,3.4153256197717654e-57,1.1346917092087748e-12,5.941537052371156,0.0006741047812921664,2.7205962071549344e-17,5.398483428948383e-12,3.5701433124655195e-7,0.003322947968792122,0.011568871600329895
89.75301644172006,5.4259465077145626e-61,7.500468005447867e-13,5.941443779145804,0.00044560266380825166,2.0684260782164285e-17,3.963004469442311e-12,2.530772082760608e-7,0.003400672698036501,0.011435025135278122
140.05494215946158,5.38812723634436e-65,4.756234904360258e-13,5.941381553106564,0.000282572622441816,1.7629020402221718e-17,3.2915856886293944e-12,2.0485540186132508e-7,0.0034510958685759893,0.011335717751661867
222.0335841303387,3.2843356981889665e-69,2.8532202089377345e-13,5.941343344624537,0.00016951477219065772,1.6507158871486677e-17,3.026179749854358e-12,1.8492329003065774e-7,0.0034793490367544502,0.011262399976770516
358.432128531667,1.2035157894360989e-73,1.5776289996597229e-13,5.941322633815805,9.373055016803492e-5,1.6282694144181094e-17,2.948016212970849e-12,1.7791440752411438e-7,0.003491213633566453,0.011208806663657426
590.8799367226482,2.5882414720702357e-78,7.63570582990315e-14,5.941313563571269,4.5365776326148125e-5,1.6373583230432755e-17,2.9407118559238808e-12,1.760515036063841e-7,0.0034926411572286592,0.011170827345259801
998.2144251862494,3.1766646506504556e-83,2.8972979671251414e-14,5.941311004824968,1.72136985474281e-5,1.6508168347639994e-17,2.950939361434708e-12,1.7583300519607558e-7,0.003489398596035017,0.011146238816387488
1736.1673894977353,2.15220609146535e-88,6.6953502621104366e-15,5.9413108997884505,3.9779132134367616e-6,1.6590248309523413e-17,2.9590236128895485e-12,1.7592303926093926e-7,0.0034862299745847774,0.011133675722157387
3131.4061984539376,7.712409130695797e-94,5.226976177894327e-16,5.941311053913175,3.1055102583963046e-7,1.661482583055474e-17,2.9615792098938887e-12,1.7596636292627814e-7,0.0034850947298980307,0.011130025603939829
4902.237455883596,2.1775636982318632e-99,2.8015379487751646e-17,5.941311099432312,1.6644937094781965e-8,1.6616740596221745e-17,2.9617740144618786e-12,1.759692333968968e-7,0.0034849801622443806,0.011129700132631846
6673.068713313255,6.148252224734883e-105,7.964656773864862e-18,5.941311131755407,4.732179048054541e-9,1.6616728031125164e-17,2.961765852112046e-12,1.759683965521929e-7,0.003484956624768031,0.011129656383296504
12840.132717346045,4.984708609817499e-111,7.119728790193848e-18,5.941311242364007,4.230181126611051e-9,1.6616403841001955e-17,2.961707873233822e-12,1.75964940234356e-7,0.0034848879447695272,0.011129545006270978
19007.196721378838,4.0413631766899326e-117,7.114877005322006e-18,5.941311352945814,4.2272986092097235e-9,1.6616076245994334e-17,2.9616495362744347e-12,1.7596147742419268e-7,0.003484819428777495,0.011129434131355077
68343.70875364117,4.095708063993135e-124,7.115150348070302e-18,5.941312237493465,4.227461631757228e-9,1.6613455695379468e-17,2.9611828893819342e-12,1.7593377852160957e-7,0.0034842713851832466,0.011128547263903556
463035.8050117398,5.1884871200688084e-132,7.117575606070014e-18,5.941319307117013,4.228907541970521e-9,1.659251484537986e-17,2.957453904379963e-12,1.7571243575870027e-7,0.0034798919472527135,0.011121459271470914
1.0e6,0.0,7.120873042311784e-18,5.941328905833019,4.2308734300147284e-9,1.656409266759111e-17,2.9523926897495003e-12,1.7541201459912505e-7,0.003473947867319887,0.011111836104620661
